"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Antigua and Barbuda","ATG","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","75.3318634033203","80.751708984375","","","","","","","","","","","","","","","","90.982292175293","","","","","","","","","","","","","","","","110.646896362305","103.238868713379","120.46443939209","124.850303649902","","104.806408544726","129.819274902344","102.311248779297","106.583072100314","109.636650085449","101.889762878418","102.932098765432","","","141.613924050633","","","",
"Australia","AUS","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4993591308594","","101.586448669434","","","","","","","100.790916442871","96.2336502075195","99.1749801635742","96.6232528686523","100.134063720703","97.7116775512695","98.4220428466797","97.3281478881836","99.9173431396484","97.7750930786133","99.5705490112305","97.6607818603516","98.1613006591797","96.6078872680664","",
"Azerbaijan","AZE","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.7652435302734","96.3216094970703","94.5982131958008","95.0953521728516","96.2864227294922","97.2518920898438","92.2177429199219","97.8045806884766","91.6603775024414","92.0753326416016","89.9870754127881","93.3493758459919","92.3395261532095","89.4396124316514","98.5741840907337","104.736997314874","112.69454195272","106.782561700594","99.8573802614282","100.392016224772","97.9841539332201","96.5965756144919","100.31059499803","96.485262051902","98.0678233438486","",
"Burundi","BDI","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","8.34955978393555","","14.8937101364136","14.5065498352051","15.0387296676636","13.8184900283813","14.0630102157593","13.338680267334","13.1541700363159","13.2220697402954","13.4307098388672","15.5382299423218","20.8859100341797","28.1613597869873","29.4791393280029","31.4430198669434","31.289400100708","42.4949188232422","35.5520896911621","44.134651184082","44.6440505981445","50.1042900085449","54.0793800354004","","","","","","","26.7092399597168","27.9339904785156","28.6020793914795","34.605598449707","38.5983581542969","39.2527694702148","","51.6647682189941","44.6031112670898","49.6980209350586","53.6317870782056","57.6973576104809","61.0131510407066","65.6844711303711","62.2451383070268","55.4612875189238","57.0378749188226","56.7376819047235","51.2047382234461","47.2389986047087","43.9610355949441","","","","","",
"Belgium","BEL","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","24.46044921875","28.1229305267334","28.2314796447754","27.0251808166504","33.845100402832","32.4290199279785","32.1168518066406","34.5329818725586","35.8408508300781","36.9930610656738","40.1828002929688","41.8717498779297","48.0685195922852","37.8100891113281","43.5661811828613","39.7864418029785","38.4342308044434","35.1389312744141","34.7811813354492","24.4912796020508","26.9730091094971","27.124849319458","29.591739654541","31.8589591979981","37.471118927002","40.5323791503906","43.3617706298828","46.6610908508301","","45.4520416259766","50.1672706604004","52.5752296447754","56.6359901428223","59.1298789978027","","","","68.6793365478516","","70.1243515014648","74.0062637329102","75.1712036132812","80.0102691650391","79.5575790405273","79.7392272949219","78.7815780639648","","","61.8314094543457","60.164680480957","71.0097579956055","64.1355133056641","","","",
"Burkina Faso","BFA","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","10.0815896987915","9.26189041137695","9.35023975372314","8.72859001159668","9.87852001190186","9.83327960968018","10.8475198745728","11.1647796630859","12.2990398406982","12.0396995544434","13.4687700271606","13.6340103149414","14.3604402542114","15.0700902938843","17.6032104492188","","19.6975708007812","20.9308490753174","20.5472297668457","24.1374492645264","23.9908294677734","30.3351402282715","31.4205894470215","32.0611991882324","20.9607696533203","25.9620800018311","","","25.8113594055176","28.0196704864502","29.8763809204102","30.2740707397461","31.5401306152344","32.9041709899902","34.5681304931641","35.7040481567383","38.1845283508301","42.1566200256348","46.0041198730469","48.9612398617878","","57.3772342087323","60.9469555881773","58.1165483686807","59.2343367491297","58.2112451012345","59.1839705212032","60.0928431002859","58.3948120575037","57.8570226272633","59.0616039853727","53.0850745491921","46.3206634635206","46.7658211195889","",
"Bangladesh","BGD","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","55.4232292175293","","","","","32.6081886291504","","","","","","","","","","","","","","","","","","","","","","","","62.0962791442871","","","52.7019004821777","57.7387084960938","57.735322886329","","","","","","","","","","","105.28775667863","87.6513627751057","89.1288542271555","86.4488754268572","",
"Bulgaria","BGR","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.233100891113","102.440780639648","103.474487304688","104.651161193848","105.135520935059","108.383041381836","104.137283325195","103.88533782959","100.323692321777","100.040992736816","100.613807678223","99.9906005859375","101.69066619873","99.0927429199219","99.8682327270508","97.789421081543","99.1724624633789","96.7033615112305","97.4562606811523","97.4961318969727","95.7085418701172","95.9978408813477","94.6955337524414","94.5741195678711","",
