"Tabela 3540 - Pessoas de 10 anos ou mais de idade, por nível de instrução, segundo a situação do domicílio, o sexo, a cor ou raça e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"Ano x Nível de instrução x Situação do domicílio x Sexo"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"2010"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"Total";;;"Sem instrução e fundamental incompleto";;;"Fundamental completo e médio incompleto";;;"Médio completo e superior incompleto"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"Total";;;"Total";;;"Total";;;"Total"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Nordeste";"Preta";"10 a 14 anos";"421106";"224941";"196164";"407684";"219208";"188477";"10685";"4294";"6392";"342";"136";"206"
"Nordeste";"Preta";"14 anos";"89446";"47695";"41751";"79587";"43727";"35860";"8332";"3182";"5150";"254";"116";"138"
"Nordeste";"Preta";"15 a 19 anos";"450848";"237367";"213481";"236993";"142578";"94415";"156120";"71036";"85084";"48462";"19469";"28993"
"Nordeste";"Preta";"20 a 24 anos";"490013";"253899";"236115";"182364";"110389";"71975";"115208";"60817";"54391";"180112";"77603";"102509"
"Nordeste";"Parda";"Total";"26336428";"12834558";"13501871";"16355812";"8472571";"7883241";"4055763";"1877813";"2177951";"4888374";"2101033";"2787341"
"Nordeste";"Parda";"10 a 14 anos";"3343785";"1706185";"1637600";"3221418";"1657080";"1564338";"102694";"40315";"62379";"2482";"1253";"1229"
"Nordeste";"Parda";"14 anos";"687650";"348588";"339062";"597073";"314504";"282568";"79333";"29208";"50125";"1329";"643";"686"
"Nordeste";"Parda";"15 a 19 anos";"3211191";"1628829";"1582363";"1559810";"913268";"646542";"1215027";"538999";"676029";"372819";"147803";"225016"
"Nordeste";"Parda";"20 a 24 anos";"3059733";"1523707";"1536026";"1117685";"645598";"472086";"725690";"361073";"364617";"1134381";"485381";"649000"
"Sudeste";"Total";"Total";"69528259";"33563702";"35964558";"31138332";"15411639";"15726693";"12742116";"6282275";"6459841";"17883715";"8480944";"9402771"
