"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Cód.";"Município";"Ano x Tipo de rebanho"
"Cód.";"Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Cód.";"Município";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino"
"1100320";"São Miguel do Guaporé (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"6123";"7045";"8101";"8911";"14500";"16675";"18009";"77005";"84706";"99182";"109100";"91243";"102385";"125090";"170035";"201217";"223897";"229183";"277182";"268155";"272969";"279618";"275003";"268104";"254362";"256339";"265421";"256829";"247679";"253377";"252173";"258493";"262056";"296981";"288451";"286470"
"1100338";"Nova Mamoré (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"27610";"26229";"31860";"40908";"36000";"38819";"42939";"50158";"55174";"64604";"71064";"78170";"112491";"132889";"167778";"216403";"272639";"311212";"342839";"373544";"404432";"416240";"439615";"461573";"490298";"518311";"565040";"610056";"651221";"701104";"730528";"769264";"807820";"1011353";"1042736";"1019780"
"1100346";"Alvorada D'Oeste (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"21000";"23100";"25410";"28460";"31306";"34436";"58541";"81957";"84579";"94528";"103981";"121752";"124187";"136606";"162205";"195151";"219190";"236845";"251173";"240813";"219112";"222937";"229952";"230455";"236973";"241826";"241850";"247977";"260624";"263913";"269695";"261846";"260560";"267652";"268615";"316015";"322895";"324900"
"1100379";"Alto Alegre dos Parecis (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"92002";"107931";"110089";"59025";"76257";"88986";"107765";"119044";"135827";"137542";"146856";"152251";"146679";"150237";"154310";"159276";"165944";"179572";"187193";"192322";"198631";"203310";"208256";"218733";"223815";"264539";"268153";"272660"
"1100403";"Alto Paraíso (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"28616";"17616";"20569";"34866";"38353";"53200";"58520";"64372";"74573";"91275";"111927";"147404";"180217";"199807";"200050";"202652";"207357";"223768";"220562";"219720";"221872";"236100";"258895";"280650";"298448";"317253";"316074";"342015";"351664";"407786";"416218";"421240"
"1100452";"Buritis (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"14755";"28000";"30800";"33880";"106226";"137302";"209341";"258939";"305694";"329721";"344315";"359747";"387858";"423659";"431297";"441629";"454748";"460992";"458876";"477919";"501909";"529731";"516674";"520182";"539404";"640306";"654486";"648984"
"1100502";"Novo Horizonte do Oeste (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"22295";"24301";"26245";"61088";"67197";"78681";"80255";"84130";"69429";"98463";"102266";"132609";"130362";"125118";"110257";"117169";"120158";"127459";"131027";"135700";"136804";"147619";"152638";"147372";"151429";"149268";"147395";"156192";"151819";"177383";"182407";"173500"
"1100601";"Cacaulândia (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"71400";"35780";"48000";"81889";"90078";"105473";"116020";"127622";"139595";"177476";"210493";"230860";"248212";"257267";"230812";"249598";"258799";"250628";"250332";"249882";"239817";"243935";"245529";"250680";"259123";"263812";"266424";"279099";"281523";"325162";"334313";"341980"
"1100700";"Campo Novo de Rondônia (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"15000";"16425";"24144";"28716";"16832";"30000";"33000";"36300";"68740";"94802";"124740";"165074";"198663";"222616";"229788";"260865";"278067";"300509";"317725";"334933";"347723";"376300";"390284";"403091";"433288";"443867";"436781";"437296";"441603";"527453";"528831";"538355"
"1100809";"Candeias do Jamari (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"35000";"47020";"37000";"42648";"46913";"54913";"60404";"66444";"95188";"109382";"128282";"143362";"158361";"167107";"164281";"165035";"175700";"190632";"178466";"184273";"184782";"197708";"204124";"203176";"219785";"230988";"243416";"269105";"286074";"357005";"391425";"400031"
