"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Cód.";"Município";"Ano x Tipo de rebanho"
"Cód.";"Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Cód.";"Município";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino"
"1706506";"Darcinópolis (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"15000";"16215";"17430";"11000";"11200";"11370";"17000";"18700";"19000";"25000";"26574";"26700";"24000";"24100";"19600";"19800";"18000";"19236";"18910";"17896";"21373";"21869";"20916";"23295";"22688";"19817";"19012";"21162";"27847";"31441";"32110";"36155"
"1707009";"Dianópolis (TO)";"32000";"31512";"33589";"35637";"32073";"22000";"27764";"30000";"30500";"32000";"29600";"25500";"22000";"20000";"21400";"18900";"17600";"17000";"15000";"13500";"12300";"11500";"27850";"28500";"28800";"29200";"30100";"32170";"35000";"37500";"39650";"41230";"39782";"37142";"32000";"32300";"35000";"35870";"43425";"41736";"41290";"45345";"45445";"48603";"47158";"49800";"56500";"59354";"60722";"64154";"67445"
"1707108";"Divinópolis do Tocantins (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"22820";"23500";"24200";"24930";"26920";"25300";"24030";"72610";"52780";"53830";"54370";"68600";"70000";"80000";"85000";"91500";"89750";"83500";"95000";"96000";"105500";"109100";"105080";"109500";"114975";"103970";"110896";"120587";"113153";"110846";"111986";"120231";"128743";"140499";"145993";"143072"
"1707207";"Dois Irmãos do Tocantins (TO)";"39000";"35045";"35589";"37009";"40700";"45800";"47000";"50000";"52000";"54000";"56690";"59510";"53970";"57210";"60640";"63670";"65580";"66890";"68230";"66090";"66750";"68080";"108020";"109090";"111270";"113490";"114100";"119500";"131600";"134600";"126000";"130680";"125000";"120200";"119700";"133200";"138860";"133020";"137800";"140556";"143906";"151648";"161061";"160390";"156729";"157495";"171314";"184233";"204135";"218504";"219108"
"1707306";"Dueré (TO)";"44700";"46018";"46000";"48000";"51500";"54000";"73352";"79900";"74930";"74810";"77590";"78000";"73300";"74700";"76200";"73600";"75000";"76500";"78000";"74500";"77000";"78500";"85600";"87000";"88700";"89500";"90700";"92200";"101000";"120630";"144150";"103350";"111100";"102500";"106730";"122000";"118600";"133350";"136095";"133963";"133180";"154629";"153210";"148691";"139699";"144502";"160171";"190722";"202699";"207190";"213250"
"1707405";"Esperantina (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3800";"4065";"4370";"1250";"1275";"1340";"1445";"12000";"13252";"18300";"23440";"27445";"28722";"25920";"23108";"21924";"24571";"25692";"24720";"24800";"24950";"25679";"26679";"25932";"26177";"25051";"22768";"23492";"25701";"27095";"27978";"27028"
"1707553";"Fátima (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"22200";"27800";"15200";"16000";"15700";"16000";"16300";"17500";"18900";"20400";"22440";"23560";"24500";"17600";"11000";"11300";"12913";"13397";"17316";"16427";"17570";"17800";"17980";"16800";"16810";"17310";"18680";"20910";"20510";"21457";"21137";"19818";"20621";"21738";"20960";"20828";"21708";"22836";"24651";"25256";"27760";"27211"
"1707652";"Figueirópolis (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"54250";"55900";"57000";"66000";"67300";"68600";"70000";"71300";"73000";"74500";"65000";"66500";"67800";"76100";"77300";"78800";"80300";"81000";"82300";"91000";"102540";"97660";"87800";"88040";"81990";"90650";"90000";"96100";"108260";"108927";"94820";"86774";"96174";"100458";"89625";"91653";"90753";"97249";"109656";"110783";"105190";"94492"
"1707702";"Filadélfia (TO)";"85000";"62054";"63132";"64168";"72830";"88000";"99000";"73020";"75000";"61000";"64600";"65900";"72640";"75000";"77000";"79000";"81000";"83000";"85000";"60000";"61700";"63500";"47500";"48000";"48500";"48600";"48441";"50000";"50500";"78269";"79000";"81000";"81400";"72300";"70000";"75000";"75650";"77350";"83800";"85331";"83720";"93498";"94605";"100399";"99245";"99455";"103502";"116350";"121196";"119503";"120839"
"1708205";"Formoso do Araguaia (TO)";"111400";"166902";"170000";"191420";"200000";"220000";"94207";"95000";"95000";"94900";"103840";"108000";"116000";"118300";"120600";"123000";"125400";"127900";"130400";"136000";"140000";"142800";"176000";"178700";"182200";"184000";"186000";"188800";"174000";"178040";"198300";"187500";"191100";"189630";"202420";"207500";"210300";"217690";"219635";"218744";"213230";"222707";"232334";"314374";"244891";"252202";"316345";"303560";"311245";"328190";"338156"
"1708254";"Tabocão (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"12000";"13100";"13500";"24320";"24180";"24660";"25150";"26910";"28470";"40000";"38700";"36100";"34240";"37100";"30200";"32500";"33420";"47000";"44800";"49300";"45500";"44000";"50500";"49600";"54785";"52800";"54234";"61578";"71090";"66442";"66056";"70592"
"1708304";"Goianorte (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"24250";"25000";"25500";"26500";"28600";"30900";"32000";"53400";"53500";"54000";"54500";"58000";"71000";"81000";"82200";"86000";"89000";"81750";"82500";"83000";"84000";"87000";"87160";"90500";"90400";"92248";"90885";"96982";"98955";"92501";"95753";"102841";"107955";"113079";"118607";"120247"
"1709005";"Goiatins (TO)";"40000";"28131";"28987";"28542";"31396";"33095";"37014";"36773";"36850";"38740";"41000";"41800";"41900";"42000";"43000";"44000";"45000";"46000";"47000";"45080";"46500";"48000";"22000";"22500";"22700";"22800";"26688";"27000";"35000";"32417";"32500";"34000";"34500";"34700";"56000";"59000";"40200";"39450";"39500";"42240";"42470";"45626";"49079";"52855";"53385";"54961";"58476";"70736";"85088";"94078";"99219"
"1709302";"Guaraí (TO)";"56000";"34241";"39165";"44549";"49004";"56007";"49298";"50776";"53420";"48500";"51700";"54500";"55800";"57000";"58500";"60000";"61000";"61500";"63000";"56000";"60000";"62000";"60000";"60500";"62000";"62500";"84000";"95000";"103000";"104500";"105500";"110000";"102900";"97500";"83000";"112000";"116120";"112500";"111500";"112300";"110000";"111606";"113800";"113720";"112700";"113391";"118261";"140867";"147627";"154006";"152312"
"1709500";"Gurupi (TO)";"67728";"76946";"80991";"84779";"93000";"105000";"105000";"100000";"88100";"88400";"93190";"97800";"109000";"111000";"113000";"82400";"84500";"86000";"87700";"71000";"72500";"74000";"77450";"79000";"80500";"81700";"82900";"84200";"93000";"104500";"106200";"95000";"92220";"113060";"93240";"97200";"101100";"111700";"113926";"106664";"108269";"109839";"103118";"95519";"88517";"89939";"100647";"117019";"126802";"128949";"136799"
"1709807";"Ipueiras (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"10500";"10700";"10500";"13276";"15995";"14347";"15180";"14430";"14365";"16200";"16240";"17270";"18440";"15430";"16900";"18277";"17960";"18446";"18986";"20844";"20471";"18916";"20638";"20143";"23710";"26263";"28226";"27473"
"1710508";"Itacajá (TO)";"79000";"47784";"49983";"48222";"54000";"59200";"60329";"59627";"61800";"65430";"67380";"71000";"55500";"58300";"61100";"63000";"65000";"67000";"71000";"38000";"40000";"42000";"34800";"34850";"35000";"35500";"45000";"46000";"48000";"49500";"55000";"53500";"59700";"54500";"60500";"59500";"68000";"61500";"61830";"65000";"67880";"71056";"74056";"74032";"71043";"72906";"81391";"92229";"93117";"101359";"104140"
"1710706";"Itaguatins (TO)";"16000";"8697";"8430";"8514";"9100";"10000";"13765";"15000";"15300";"17000";"23000";"20000";"21000";"25000";"26000";"20000";"18000";"18000";"19000";"11000";"11720";"12480";"18550";"18735";"18805";"19573";"28941";"30288";"42200";"48790";"49079";"50699";"47518";"37428";"37556";"40297";"42687";"46830";"46640";"49700";"49618";"55468";"54671";"57550";"57548";"58835";"57239";"63248";"73699";"61536";"60342"
"1710904";"Itapiratins (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"23500";"25000";"26000";"21000";"26300";"26500";"26700";"30500";"34000";"39000";"39500";"40000";"46100";"41400";"39500";"42500";"41000";"47000";"45120";"46900";"49500";"52353";"54084";"50241";"52709";"52773";"50308";"56045";"65438";"62479";"65265";"63327"
"1711100";"Itaporã do Tocantins (TO)";"1902";"5717";"5859";"6480";"7000";"7600";"14546";"15000";"15800";"16720";"17920";"19000";"47000";"49600";"52100";"54000";"56700";"58500";"60000";"66000";"70000";"75000";"66400";"66450";"66500";"68000";"72500";"103000";"84000";"82200";"93000";"97600";"91100";"85000";"89000";"91000";"90000";"97590";"93000";"97000";"96944";"100983";"99793";"105080";"96855";"102092";"100599";"110598";"120469";"123633";"123659"
"1711506";"Jaú do Tocantins (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"29000";"29700";"30300";"46700";"47500";"48450";"49000";"49600";"50350";"55000";"69220";"64250";"67460";"68550";"64010";"66310";"60200";"74800";"82050";"87259";"88358";"90538";"94743";"99196";"94949";"86419";"92239";"101553";"120990";"122753";"124937";"124519"
"1711803";"Juarina (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"12500";"13500";"14500";"17000";"17500";"18000";"19000";"22500";"25000";"50000";"29000";"32500";"32600";"26400";"22000";"26500";"27000";"27000";"25570";"25600";"25800";"24708";"27102";"28107";"27318";"24188";"22153";"29552";"33176";"32100";"35150";"32372"
"1711902";"Lagoa da Confusão (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"55000";"57750";"60630";"67520";"69000";"70400";"71000";"94000";"84423";"104029";"140790";"114400";"112700";"100210";"88800";"109580";"90890";"94730";"99580";"102600";"106704";"90941";"93729";"99387";"108105";"92394";"86040";"116235";"107232";"118974";"143915";"127371"
"1711951";"Lagoa do Tocantins (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"7630";"8010";"8410";"5580";"6000";"6300";"6550";"6800";"7776";"8736";"9400";"9870";"11080";"11670";"11195";"10560";"11400";"11890";"11610";"12032";"12877";"11784";"11864";"12414";"12854";"12603";"11828";"13072";"15548";"18196";"21068";"23190"
"1712009";"Lajeado (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"4790";"4980";"4480";"4660";"4760";"4800";"4900";"5000";"5100";"5350";"6500";"6600";"6680";"6800";"6100";"6000";"6500";"7666";"7500";"7530";"6900";"6250";"6700";"6500";"6130";"5480";"5852";"7025";"8259";"8614";"10315";"10416"
"1712157";"Lavandeira (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"14000";"14400";"15000";"11000";"11050";"13200";"14500";"16900";"20450";"21310";"19263";"16000";"16700";"22350";"21990";"21953";"18330";"15419";"21323";"21468";"21054";"19858";"20145";"23120";"27070";"29432";"32565";"32063"
"1712405";"Lizarda (TO)";"36000";"31032";"33253";"32867";"35496";"36976";"43548";"47000";"46000";"14760";"15500";"16270";"17080";"17930";"19000";"21000";"21840";"22490";"23160";"25010";"26510";"27300";"14200";"14750";"15190";"15490";"14100";"14000";"14100";"14500";"15300";"18600";"18500";"19200";"19400";"19750";"20325";"18100";"18000";"18850";"17300";"18400";"20400";"20900";"20850";"19614";"18701";"20061";"22735";"24397";"26120"
"1712454";"Luzinópolis (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"5510";"7282";"7400";"8760";"9092";"10100";"10780";"9982";"9159";"9318";"6617";"8264";"7658";"10044";"8510";"9489";"8703";"14419";"10012";"8127";"8962";"9232";"8126";"8465";"10903";"11206";"11308";"10559"
"1712504";"Marianópolis do Tocantins (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"15200";"15810";"16280";"16770";"18110";"18650";"18090";"51130";"51640";"52670";"53190";"61170";"82000";"86000";"95500";"96000";"94950";"93400";"101500";"99100";"105050";"111270";"112550";"110000";"112230";"108676";"103088";"105261";"106721";"102721";"99924";"86116";"91091";"82163";"77830";"74882"
"1712702";"Mateiros (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"4970";"5170";"5380";"3050";"3200";"3400";"3600";"3850";"4092";"3396";"3450";"4300";"4280";"4800";"4810";"4310";"4760";"4380";"4890";"4800";"5102";"4973";"5302";"5545";"6401";"7161";"7488";"7830";"8842";"12134";"15939";"16962"
"1712801";"Maurilândia do Tocantins (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"6200";"6600";"6990";"8290";"8360";"8395";"8420";"9310";"11692";"12500";"13950";"16003";"16897";"16079";"17525";"17429";"18453";"19006";"16630";"18745";"19424";"17930";"20963";"11325";"21858";"22951";"20510";"20229";"24101";"25837";"25835";"25886"
"1713205";"Miracema do Tocantins (TO)";"69000";"90316";"96000";"100000";"110000";"109000";"91413";"95000";"97000";"101900";"106990";"111270";"116320";"120970";"125810";"54920";"57110";"59390";"61770";"61490";"65180";"68440";"71960";"73030";"74500";"76800";"70780";"87800";"88700";"99000";"108200";"97000";"104900";"121630";"113100";"122380";"125306";"118500";"117300";"122725";"124860";"130110";"147800";"133190";"119200";"127173";"135868";"160195";"168903";"169773";"172512"
"1713304";"Miranorte (TO)";"6000";"10840";"12840";"14000";"15000";"15800";"15217";"18000";"18900";"19820";"20810";"21860";"25720";"27000";"28080";"29480";"30660";"31580";"32530";"35130";"36530";"37260";"45200";"45550";"46200";"47730";"50800";"65000";"71000";"75100";"76500";"70200";"66800";"67100";"66900";"68100";"76850";"71500";"73800";"79850";"78600";"82945";"89000";"78360";"67446";"66667";"70240";"81441";"97651";"104582";"117373"
"1713601";"Monte do Carmo (TO)";"25361";"34901";"38000";"40000";"44000";"55000";"45881";"54000";"56000";"66000";"77000";"90000";"47000";"52000";"56000";"60000";"65000";"70000";"75000";"82500";"87450";"92700";"55000";"56000";"57150";"60000";"59086";"68861";"75452";"78500";"80850";"79280";"79590";"78725";"76100";"76210";"77100";"75300";"73606";"70631";"66484";"72101";"74322";"71079";"70435";"70985";"70616";"84558";"92527";"95742";"95999"
"1713700";"Monte Santo do Tocantins (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"35240";"36300";"37020";"35800";"39100";"40300";"43100";"42200";"41000";"41200";"39000";"41920";"44800";"50200";"48700";"56000";"61043";"53147";"58283";"63704";"67679";"59841";"69136";"76259";"89506";"95587";"100353";"106153"
"1713809";"Palmeiras do Tocantins (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"14000";"15140";"16030";"20950";"21155";"21170";"21250";"19840";"26213";"28000";"31890";"30774";"26793";"31105";"25231";"26047";"29613";"28265";"24310";"26892";"27121";"28092";"34141";"31479";"32039";"33237";"32605";"30586";"39041";"41740";"42882";"42235"
"1713957";"Muricilândia (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"112000";"115500";"117900";"47500";"49000";"49500";"52000";"68600";"70000";"70700";"79881";"83500";"86000";"86100";"77400";"77500";"70000";"80400";"61100";"64800";"65435";"62710";"75497";"65300";"62128";"67107";"69571";"69292";"81392";"90041";"88305";"85120"
"1714203";"Natividade (TO)";"56000";"70853";"76032";"72000";"80000";"90000";"100735";"110000";"118000";"130000";"149000";"93000";"97000";"102000";"102000";"42000";"43500";"42000";"43000";"45000";"48000";"48400";"58300";"37500";"38600";"39700";"41600";"35000";"38000";"39000";"42300";"43200";"43799";"61591";"56000";"50000";"49400";"51800";"55865";"56491";"56870";"58597";"63469";"66379";"69903";"75720";"78500";"98927";"103526";"109404";"109654"
"1714302";"Nazaré (TO)";"14000";"10520";"10509";"10489";"11000";"12000";"20447";"21000";"22000";"24000";"27000";"28000";"22000";"26000";"27000";"25000";"23000";"19000";"20000";"8200";"8750";"9270";"22400";"12985";"13020";"14010";"16800";"19307";"21660";"22950";"22373";"23074";"20591";"18861";"19462";"18646";"21536";"19590";"18634";"20332";"20319";"22640";"18438";"20546";"20884";"17733";"18308";"24592";"27783";"30513";"30197"
"1714880";"Nova Olinda (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"17500";"18020";"19000";"19700";"20630";"21620";"22700";"23500";"24600";"26000";"28600";"30000";"32000";"36900";"37000";"37500";"38000";"52000";"66000";"81000";"82500";"82300";"82500";"75200";"65500";"64500";"74000";"72000";"74800";"72500";"75000";"77962";"81055";"82981";"82839";"71480";"71321";"74833";"89707";"96118";"100414";"97391"
"1715002";"Nova Rosalândia (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"13000";"14000";"15200";"16400";"18040";"18940";"19890";"16150";"16500";"16900";"17500";"21116";"21691";"21007";"26500";"25700";"17680";"20250";"20175";"21940";"22100";"24000";"22600";"20500";"21935";"20320";"21459";"21420";"21054";"18593";"18631";"19892";"22253";"24094";"21728";"20315"
"1715101";"Novo Acordo (TO)";"17300";"20474";"21808";"22933";"25226";"31000";"22923";"27000";"29000";"29800";"31600";"33490";"26400";"27980";"30000";"18500";"20000";"21500";"23200";"19765";"20750";"21790";"6980";"7100";"7250";"7450";"6358";"6687";"8221";"8550";"9405";"10250";"11990";"12050";"12370";"12880";"12760";"12610";"14164";"15038";"13539";"14353";"13818";"13176";"12797";"12657";"11905";"14400";"16111";"17957";"16871"
"1715150";"Novo Alegre (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"10000";"9500";"8800";"11750";"11950";"12400";"13100";"12000";"13000";"14550";"15500";"15100";"13860";"14422";"16016";"16100";"18200";"17500";"19640";"20488";"17846";"20162";"23263";"22251";"23421";"19692";"20990";"25100";"26322";"27357";"28082";"29787"
"1715259";"Novo Jardim (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"13200";"13300";"13700";"6060";"6130";"6350";"6900";"7300";"8540";"8600";"9500";"9300";"10420";"11494";"10803";"11300";"15300";"13000";"14150";"10935";"11964";"12292";"11323";"11859";"12052";"11423";"11800";"12350";"13914";"15606";"17187";"18794"
"1715507";"Oliveira de Fátima (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"7000";"7200";"8136";"8155";"10532";"11097";"11650";"12600";"11970";"10650";"10440";"9920";"11470";"12560";"11400";"10946";"10085";"10071";"10635";"11012";"10679";"9529";"9867";"10246";"12735";"12869";"14871";"12892"
"1715705";"Palmeirante (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"32700";"33800";"35000";"35200";"35500";"36000";"36500";"22000";"35000";"36000";"40000";"42000";"42300";"42400";"34000";"40200";"43000";"44000";"45890";"45000";"48000";"51440";"52069";"55489";"61900";"57298";"58322";"66007";"73557";"80729";"81818";"90021"
"1715754";"Palmeirópolis (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"26500";"30800";"48600";"49000";"52000";"53000";"54300";"55300";"56400";"57600";"44600";"45800";"46700";"57800";"58500";"59600";"60000";"60800";"61700";"63000";"73930";"73710";"66150";"66380";"66530";"66410";"62300";"68400";"73990";"67465";"68428";"66986";"74518";"72837";"65183";"59331";"62579";"66344";"79003";"82346";"87918";"96897"
"1716109";"Paraíso do Tocantins (TO)";"11268";"19500";"21500";"24609";"27069";"29911";"57093";"61300";"64370";"73800";"67200";"55200";"65400";"66450";"67800";"69000";"75000";"80000";"86500";"95150";"100860";"105900";"70190";"56860";"57980";"59140";"62100";"83200";"87000";"91830";"91000";"84100";"85200";"90500";"88600";"85200";"87790";"86450";"87600";"91104";"88705";"95552";"99339";"92849";"86617";"85170";"87313";"107272";"115811";"122294";"126873"
"1716208";"Paranã (TO)";"70000";"77636";"83509";"89420";"80000";"85000";"113521";"115000";"118000";"94150";"95000";"92000";"112000";"115000";"115000";"116000";"114300";"118000";"120000";"125000";"130000";"135000";"99800";"102000";"104000";"106000";"107500";"109000";"101000";"98100";"106570";"121260";"114850";"99770";"97900";"104000";"95500";"103510";"105941";"115064";"122322";"126487";"132706";"126660";"128025";"137896";"140183";"182860";"217038";"253044";"273188"
"1716307";"Pau D'Arco (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"51500";"55000";"56000";"70500";"71000";"71500";"72000";"61000";"69000";"67000";"71500";"71300";"71500";"72200";"72500";"71500";"80000";"93000";"77930";"85000";"86000";"86044";"90482";"87878";"96199";"85700";"84928";"91026";"92120";"93948";"93397";"93516"
"1716505";"Pedro Afonso (TO)";"44160";"37633";"41460";"42129";"46342";"55610";"38298";"37422";"37700";"36800";"37080";"37200";"32000";"32500";"33000";"34000";"34500";"35000";"36000";"13100";"14200";"15000";"19840";"20430";"20700";"21110";"16890";"17000";"18000";"18600";"18500";"18580";"19000";"18950";"19000";"20900";"21414";"18750";"18800";"21500";"20000";"22865";"24200";"26260";"22600";"23096";"24936";"27440";"27233";"30152";"27000"
"1716604";"Peixe (TO)";"70000";"94986";"100000";"110000";"118000";"130000";"154003";"162700";"167500";"113000";"115200";"118000";"117500";"120000";"122400";"124800";"127000";"129500";"132000";"105000";"108000";"110000";"148000";"127000";"129500";"133300";"135300";"137300";"140000";"186410";"198570";"197520";"191620";"174310";"160270";"168200";"184000";"205990";"208593";"189944";"187059";"202637";"214426";"200594";"192781";"201330";"226723";"257568";"261562";"287594";"298277"
"1716653";"Pequizeiro (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"39900";"41500";"42000";"43800";"47300";"51000";"52500";"71470";"71500";"72000";"72500";"63000";"89000";"70000";"76000";"85200";"88950";"82400";"80500";"81500";"94000";"90000";"81650";"80000";"85000";"97245";"100760";"105350";"103276";"99580";"95229";"97281";"98622";"107800";"107036";"118234"
"1716703";"Colméia (TO)";"20000";"28342";"33789";"40000";"45000";"50000";"67346";"69580";"71970";"73500";"76500";"78000";"96400";"101000";"106000";"40500";"41000";"42000";"45500";"49200";"53100";"57500";"44870";"45000";"46000";"46500";"53400";"46000";"82000";"82000";"86000";"86400";"81000";"78000";"82500";"83000";"84000";"82880";"80000";"83600";"86300";"90063";"90772";"90928";"90806";"87406";"94536";"103021";"102278";"112641";"115482"
"1717008";"Pindorama do Tocantins (TO)";"6000";"7690";"8200";"8600";"9245";"12000";"12562";"14500";"15000";"17000";"20000";"23400";"15500";"17000";"17100";"16500";"18000";"19500";"21100";"22790";"23900";"25095";"21600";"21800";"22200";"26000";"30556";"30556";"33912";"35400";"34330";"34285";"37300";"36490";"36860";"41308";"46000";"44700";"51063";"53931";"54256";"53047";"55976";"54810";"48352";"46554";"52862";"62723";"60578";"66278";"66559"
"1717206";"Piraquê (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"58000";"60000";"62000";"36000";"37000";"37400";"55000";"82500";"83200";"84000";"92545";"92800";"93000";"93200";"78700";"86000";"87000";"97130";"91350";"96600";"93296";"96870";"83290";"98564";"94564";"90530";"87241";"98382";"107996";"107542";"107824";"121660"
"1717503";"Pium (TO)";"35000";"45105";"48645";"50000";"55000";"65000";"70000";"58960";"60720";"65000";"75700";"80000";"90700";"102800";"105000";"107100";"115000";"125000";"135000";"148500";"157410";"165280";"118300";"100100";"102200";"104240";"114555";"128991";"130657";"145000";"175900";"170700";"160530";"147930";"139330";"142750";"150590";"152600";"165000";"176551";"160633";"178105";"186224";"181167";"165566";"175591";"183489";"197447";"212698";"204749";"219285"
"1717800";"Ponte Alta do Bom Jesus (TO)";"25000";"22876";"23927";"24913";"26781";"30000";"21244";"22000";"23500";"24800";"26100";"25500";"26000";"25000";"25000";"26800";"26500";"26000";"25800";"13800";"14300";"13800";"18900";"19200";"19800";"21000";"22000";"20000";"21300";"24000";"29500";"26900";"26400";"23650";"21000";"21700";"25550";"27730";"31989";"34484";"32500";"28482";"29787";"32897";"32481";"32970";"37465";"42212";"47805";"51618";"56000"
"1717909";"Ponte Alta do Tocantins (TO)";"29000";"25500";"26448";"25898";"29000";"29682";"32543";"40000";"40000";"47000";"55000";"63100";"32000";"35000";"39000";"43000";"47000";"50000";"53000";"52700";"55300";"58065";"40800";"41300";"42100";"42950";"46482";"46026";"55930";"58300";"63300";"62030";"60380";"56550";"55570";"55420";"55990";"54100";"53644";"55514";"57052";"58567";"63403";"65071";"65427";"68529";"78980";"86081";"99870";"109613";"110873"
"1718006";"Porto Alegre do Tocantins (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"8000";"7300";"7000";"7200";"7000";"6500";"6000";"5970";"6050";"6350";"6700";"7050";"5000";"4950";"6000";"5800";"6260";"5894";"5523";"4300";"6200";"5430";"6080";"8519";"7851";"7780";"10112";"10748";"9855";"8134";"8020";"9080";"11075";"11900";"13426";"13711"
"1718204";"Porto Nacional (TO)";"89445";"115758";"125000";"128000";"143000";"162000";"115138";"138000";"158000";"160000";"185000";"99000";"103000";"107000";"116000";"90000";"97000";"105000";"115000";"126500";"134000";"140700";"81600";"72000";"73500";"87300";"100617";"104867";"114485";"120300";"126220";"118100";"114490";"109400";"115600";"113420";"120980";"119310";"110798";"107328";"105174";"109494";"115289";"112666";"107205";"102776";"120580";"139451";"148262";"147955";"152637"
"1718303";"Praia Norte (TO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"10000";"11000";"7000";"7500";"8000";"8500";"9000";"3100";"3135";"3150";"3280";"3550";"5482";"5950";"7100";"8412";"12009";"11753";"10481";"12552";"13891";"14480";"14590";"16380";"16500";"14695";"17072";"18195";"21183";"22294";"23240";"21643";"26637";"26581";"27009";"26119"
