UF,Tipo Crime,Ano,Mês,Ocorrências
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,JUNHO,41
ALAGOAS,ESTUPRO,2022,JULHO,74
ALAGOAS,FURTO DE VEÍCULO,2022,JULHO,184
ALAGOAS,HOMICÍDIO DOLOSO,2022,JULHO,92
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JULHO,0
ALAGOAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,JULHO,0
ALAGOAS,ROUBO DE CARGA,2022,JULHO,5
ALAGOAS,ROUBO DE VEÍCULO,2022,JULHO,150
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JULHO,3
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,JULHO,67
ALAGOAS,ESTUPRO,2022,AGOSTO,73
ALAGOAS,FURTO DE VEÍCULO,2022,AGOSTO,158
ALAGOAS,HOMICÍDIO DOLOSO,2022,AGOSTO,63
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,AGOSTO,2
ALAGOAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,AGOSTO,0
ALAGOAS,ROUBO DE CARGA,2022,AGOSTO,0
ALAGOAS,ROUBO DE VEÍCULO,2022,AGOSTO,133
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,AGOSTO,2
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,AGOSTO,68
ALAGOAS,ESTUPRO,2022,SETEMBRO,79
ALAGOAS,FURTO DE VEÍCULO,2022,SETEMBRO,176
ALAGOAS,HOMICÍDIO DOLOSO,2022,SETEMBRO,90
ALAGOAS,ROUBO DE CARGA,2022,SETEMBRO,3
ALAGOAS,ROUBO DE VEÍCULO,2022,SETEMBRO,134
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,SETEMBRO,1
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,SETEMBRO,49
ALAGOAS,ESTUPRO,2022,OUTUBRO,73
ALAGOAS,FURTO DE VEÍCULO,2022,OUTUBRO,192
ALAGOAS,HOMICÍDIO DOLOSO,2022,OUTUBRO,95
ALAGOAS,ROUBO DE CARGA,2022,OUTUBRO,3
ALAGOAS,ROUBO DE VEÍCULO,2022,OUTUBRO,158
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,OUTUBRO,2
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,OUTUBRO,57
