UF,Tipo Crime,Ano,Mês,Sexo da Vítima,Vítimas
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,AGOSTO,FEMININO,0
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,AGOSTO,MASCULINO,2
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,AGOSTO,SEXO NI,0
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,FEMININO,0
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,MASCULINO,1
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,SEXO NI,0
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,FEMININO,0
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,MASCULINO,2
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,SEXO NI,0
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,FEMININO,0
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,MASCULINO,2
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,SEXO NI,0
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,ABRIL,MASCULINO,4
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MAIO,MASCULINO,3
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JUNHO,MASCULINO,1
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JULHO,FEMININO,0
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JULHO,MASCULINO,3
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JULHO,SEXO NI,0
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,AGOSTO,FEMININO,1
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,AGOSTO,MASCULINO,1
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,AGOSTO,SEXO NI,0
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,SETEMBRO,MASCULINO,1
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,OUTUBRO,MASCULINO,2
AMAPÁ,HOMICÍDIO DOLOSO,2022,JANEIRO,FEMININO,0
AMAPÁ,HOMICÍDIO DOLOSO,2022,JANEIRO,MASCULINO,16
AMAPÁ,HOMICÍDIO DOLOSO,2022,JANEIRO,SEXO NI,0
AMAPÁ,HOMICÍDIO DOLOSO,2022,FEVEREIRO,FEMININO,0
AMAPÁ,HOMICÍDIO DOLOSO,2022,FEVEREIRO,MASCULINO,18
AMAPÁ,HOMICÍDIO DOLOSO,2022,FEVEREIRO,SEXO NI,2
AMAPÁ,HOMICÍDIO DOLOSO,2022,MARÇO,FEMININO,1
AMAPÁ,HOMICÍDIO DOLOSO,2022,MARÇO,MASCULINO,11
AMAPÁ,HOMICÍDIO DOLOSO,2022,MARÇO,SEXO NI,0
AMAPÁ,HOMICÍDIO DOLOSO,2022,ABRIL,FEMININO,1
AMAPÁ,HOMICÍDIO DOLOSO,2022,ABRIL,MASCULINO,14
AMAPÁ,HOMICÍDIO DOLOSO,2022,MAIO,MASCULINO,13
AMAPÁ,HOMICÍDIO DOLOSO,2022,JUNHO,MASCULINO,13
AMAPÁ,HOMICÍDIO DOLOSO,2022,JULHO,MASCULINO,13
AMAPÁ,HOMICÍDIO DOLOSO,2022,AGOSTO,FEMININO,4
AMAPÁ,HOMICÍDIO DOLOSO,2022,AGOSTO,MASCULINO,18
AMAPÁ,HOMICÍDIO DOLOSO,2022,AGOSTO,SEXO NI,0
AMAPÁ,HOMICÍDIO DOLOSO,2022,SETEMBRO,FEMININO,2
AMAPÁ,HOMICÍDIO DOLOSO,2022,SETEMBRO,MASCULINO,7
AMAPÁ,HOMICÍDIO DOLOSO,2022,OUTUBRO,FEMININO,1
AMAPÁ,HOMICÍDIO DOLOSO,2022,OUTUBRO,MASCULINO,13
AMAPÁ,HOMICÍDIO DOLOSO,2022,NOVEMBRO,FEMININO,1
AMAPÁ,HOMICÍDIO DOLOSO,2022,NOVEMBRO,MASCULINO,20
